configuration,run,case,item_id,fact_id,kind,label_or_component,provenance,expected,matched_value,recovered,vir_item,resolved_vision_model,vision_response_id,vision_request_id,description_latency_seconds,structuring_latency_seconds,source_raw_log,copied_raw_log,error
gpt4o_baseline,1,ABTR,abtr_v11,abtr_v11,length,CH1,source_and_deduced,0.8,0.0,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v12,abtr_v12,length,CH2,source_and_deduced,0.8,0.0,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v13,abtr_v13,length,CH3,source_and_deduced,0.8,0.0,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v14,abtr_v14,length,CH4,source_and_deduced,0.8,0.0,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,1,ABTR,abtr_v15,abtr_v15,length,CH5,source_and_deduced,0.8,0.0,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVxWEWYHd4OajrkYWsIbMAXvYhFM,req_34991ecd57304064bc99742c73bef2fd,4.5068248999996285,10.000987400000668,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_01\ABTR.json,raw/gpt4o_baseline/run_01_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v01,abtr_v01,coordinate,inlet,explicit_figure_and_source,"[0.0, 2.3]","{""label"": ""Inlet"", ""value"": [0.0, 2.3]}",True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v02,abtr_v02,coordinate,outlet,explicit_figure_and_source,"[0.0, -0.6]","{""label"": ""Outlet"", ""value"": [0.0, -0.6]}",True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v03,abtr_v03,coordinate,CH1 start,source_aligned_inference,"[-1.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v04,abtr_v04,coordinate,CH2 start,source_aligned_inference,"[-0.5, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v05,abtr_v05,coordinate,CH3 start,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v06,abtr_v06,coordinate,CH4 start,source_aligned_inference,"[0.5, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v07,abtr_v07,coordinate,CH5 start,source_aligned_inference,"[1.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v08,abtr_v08,coordinate,Pipe2 end,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v09,abtr_v09,length,Pipe1,source_and_deduced,0.6,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v10,abtr_v10,length,Pipe2,source_and_deduced,1.5,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v11,abtr_v11,length,CH1,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v12,abtr_v12,length,CH2,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v13,abtr_v13,length,CH3,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v14,abtr_v14,length,CH4,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,2,ABTR,abtr_v15,abtr_v15,length,CH5,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyCgRWOyMpQurdHS15qvF9wXQvK,req_aac918ecd9374010ad930b2a71a28118,3.3853191999987757,7.188647099999798,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_02\ABTR.json,raw/gpt4o_baseline/run_02_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v01,abtr_v01,coordinate,inlet,explicit_figure_and_source,"[0.0, 2.3]","{""label"": ""Inlet"", ""value"": [0.0, 2.3]}",True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v02,abtr_v02,coordinate,outlet,explicit_figure_and_source,"[0.0, -0.6]","{""label"": ""Outlet"", ""value"": [0.0, -0.6]}",True,1.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v03,abtr_v03,coordinate,CH1 start,source_aligned_inference,"[-1.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v04,abtr_v04,coordinate,CH2 start,source_aligned_inference,"[-0.5, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v05,abtr_v05,coordinate,CH3 start,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v06,abtr_v06,coordinate,CH4 start,source_aligned_inference,"[0.5, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v07,abtr_v07,coordinate,CH5 start,source_aligned_inference,"[1.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v08,abtr_v08,coordinate,Pipe2 end,source_aligned_inference,"[0.0, 0.8]",,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v09,abtr_v09,length,Pipe1,source_and_deduced,0.6,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v10,abtr_v10,length,Pipe2,source_and_deduced,1.5,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v11,abtr_v11,length,CH1,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v12,abtr_v12,length,CH2,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v13,abtr_v13,length,CH3,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v14,abtr_v14,length,CH4,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt4o_baseline,3,ABTR,abtr_v15,abtr_v15,length,CH5,source_and_deduced,0.8,,False,0.0,gpt-4o-2024-08-06,chatcmpl-ECVyTvLN93e5vAdOG4e6wv6ZoEI4w,req_5cad8bb718c74fbdbd20118174ddab4b,3.438135300000795,10.527147999999215,<AUTOSAM_ROOT>\evaluation_runs\20260813T201032Z_rescore\raw\vision\run_03\ABTR.json,raw/gpt4o_baseline/run_03_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v01,abtr_v01,coordinate,inlet,explicit_figure_and_source,"[0.0, 2.3]","{""label"": ""Inlet"", ""value"": [0.0, 2.3]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v02,abtr_v02,coordinate,outlet,explicit_figure_and_source,"[0.0, -0.6]","{""label"": ""Outlet"", ""value"": [0.0, -0.6]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v03,abtr_v03,coordinate,CH1 start,source_aligned_inference,"[-1.0, 0.8]","{""label"": ""CH1 start"", ""value"": [-1.0, 0.8]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v04,abtr_v04,coordinate,CH2 start,source_aligned_inference,"[-0.5, 0.8]","{""label"": ""CH2 start"", ""value"": [-0.5, 0.8]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v05,abtr_v05,coordinate,CH3 start,source_aligned_inference,"[0.0, 0.8]","{""label"": ""CH3 start"", ""value"": [0.0, 0.8]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v06,abtr_v06,coordinate,CH4 start,source_aligned_inference,"[0.5, 0.8]","{""label"": ""CH4 start"", ""value"": [0.5, 0.8]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v07,abtr_v07,coordinate,CH5 start,source_aligned_inference,"[1.0, 0.8]","{""label"": ""CH5 start"", ""value"": [1.0, 0.8]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v08,abtr_v08,coordinate,Pipe2 end,source_aligned_inference,"[0.0, 0.8]","{""label"": ""Pipe2 lower endpoint"", ""value"": [0.0, 0.8]}",True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v09,abtr_v09,length,Pipe1,source_and_deduced,0.6,0.6,True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v10,abtr_v10,length,Pipe2,source_and_deduced,1.5,1.5,True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v11,abtr_v11,length,CH1,source_and_deduced,0.8,0.8,True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
gpt56_abtr_instructions,1,ABTR,abtr_v12,abtr_v12,length,CH2,source_and_deduced,0.8,0.8,True,1.0,gpt-5.6-sol,resp_02ea532d3967f115006a7e2da082a0819687c91c19bc627630,req_863b665492e0483890cc3688462d87ad,25.998830599999565,9.883211899999878,<AUTOSAM_ROOT>\evaluation_runs\20260813T204831Z_abtr_vision_gpt56sol_instructions\raw\run_01\ABTR.json,raw/gpt56_abtr_instructions/run_01_ABTR.json,
