run,case,item_id,answerable,response_answerable,question_type,required_claim_count,recovered_claim_count,recovered_claims,CoP,exact_answer,required_evidence_count,retrieved_required_evidence_count,retrieved_required_evidence,all_required_evidence_retrieved,citation_count,supported_citation_count,CiP,CiH,generated_claim_count,unsupported_claim_count,HR,abstention_correct,failure_class,EvidenceRecallAt2,target_citation_count,noise_citation_count,retrieved_target_chunks,retrieved_noise_chunks,retrieved_noise_fraction,requested_model,resolved_model,input_tokens,output_tokens,latency_seconds,raw_log,error
2,ABTR_INPUT_K2,abtr_param_04,True,True,direct,5,5,"{""ch1_power"": true, ""ch2_power"": true, ""ch3_power"": true, ""ch4_power"": true, ""ch5_power"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2250,471,5.621942500001751,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_04.json,
2,ABTR_INPUT_K2,abtr_param_05,True,True,direct,5,5,"{""ch1_4_fuel_width"": true, ""ch1_4_gap_width"": true, ""ch1_4_clad_width"": true, ""ch5_fuel_width"": true, ""ch5_clad_width"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2160,622,7.752671899994311,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_05.json,
2,ABTR_INPUT_K2,abtr_param_06,True,True,direct,3,3,"{""channel_count"": true, ""ch1_4_nhs"": true, ""ch5_nhs"": true}",1.0,True,2,2,"[{""source"": ""abtr_case.pdf"", ""page"": 1}, {""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,6,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2257,628,7.152866100004758,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_06.json,
2,ABTR_INPUT_K2,abtr_param_07,True,True,direct,1,1,"{""dt_min"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 3}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,1229,171,2.6452571999980137,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_07.json,
2,ABTR_INPUT_K2,abtr_param_08,True,True,direct,3,3,"{""dt_early"": true, ""dt_mid"": true, ""dt_late"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 3}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,1235,416,5.246056700001645,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_08.json,
2,ABTR_INPUT_K2,abtr_param_09,True,True,direct,1,1,"{""axial_elements"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2148,583,5.766105899994727,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_09.json,
2,ABTR_INPUT_K2,abtr_param_10,True,True,direct,1,1,"{""channel_length"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2408,535,5.401766199996928,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_10.json,
2,ABTR_INPUT_K2,abtr_param_11,True,True,direct,2,2,"{""pipe1_area"": true, ""pipe2_area"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2405,260,2.966514100000495,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_11.json,
2,ABTR_INPUT_K2,abtr_param_12,True,True,direct,1,1,"{""channel_dh"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2409,575,5.517864800000098,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_12.json,
2,ABTR_INPUT_K2,abtr_param_13,True,True,direct,2,2,"{""pipe1_length"": true, ""pipe2_length"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2405,255,3.077967599994736,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_13.json,
2,ABTR_INPUT_K2,abtr_param_14,True,True,direct,5,5,"{""ch1_f"": true, ""ch2_f"": true, ""ch3_f"": true, ""ch4_f"": true, ""ch5_f"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2403,575,5.544055900005333,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_14.json,
2,ABTR_INPUT_K2,abtr_param_15,True,True,direct,2,2,"{""branch1_k"": true, ""branch2_k"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,7,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2406,1054,10.227486300005694,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_02\ABTR_INPUT_K2\abtr_param_15.json,
3,ABTR_INPUT_K2,abtr_param_01,True,True,direct,3,3,"{""fuel_k"": true, ""fuel_cp"": true, ""fuel_rho"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2261,393,4.790777000001981,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_01.json,
3,ABTR_INPUT_K2,abtr_param_02,True,True,direct,2,0,"{""fuel_k"": false, ""fuel_cp"": false}",0.0,False,1,0,[],False,1,0,0.0,0.0,2,2,1.0,,retrieval_and_generation,0.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2075,249,3.159988899999007,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_02.json,
3,ABTR_INPUT_K2,abtr_param_03,True,True,direct,1,1,"{""clad_k"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2071,156,2.5749056999993627,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_03.json,
3,ABTR_INPUT_K2,abtr_param_04,True,True,direct,5,5,"{""ch1_power"": true, ""ch2_power"": true, ""ch3_power"": true, ""ch4_power"": true, ""ch5_power"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2250,471,4.805354299998726,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_04.json,
3,ABTR_INPUT_K2,abtr_param_05,True,True,direct,5,5,"{""ch1_4_fuel_width"": true, ""ch1_4_gap_width"": true, ""ch1_4_clad_width"": true, ""ch5_fuel_width"": true, ""ch5_clad_width"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2160,622,6.2465994999947725,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_05.json,
3,ABTR_INPUT_K2,abtr_param_06,True,True,direct,3,3,"{""channel_count"": true, ""ch1_4_nhs"": true, ""ch5_nhs"": true}",1.0,True,2,2,"[{""source"": ""abtr_case.pdf"", ""page"": 1}, {""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,6,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2257,633,6.481834500002151,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_06.json,
3,ABTR_INPUT_K2,abtr_param_07,True,True,direct,1,1,"{""dt_min"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 3}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,1229,169,2.5781625999952666,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_07.json,
3,ABTR_INPUT_K2,abtr_param_08,True,True,direct,3,3,"{""dt_early"": true, ""dt_mid"": true, ""dt_late"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 3}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,1235,415,4.609360000002198,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_08.json,
3,ABTR_INPUT_K2,abtr_param_09,True,True,direct,1,1,"{""axial_elements"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,0,0.0,gpt-5.6-sol,gpt-5.6-sol,2148,583,6.2044791000007535,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_09.json,
3,ABTR_INPUT_K2,abtr_param_10,True,True,direct,1,1,"{""channel_length"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2408,535,4.843590000004042,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_10.json,
3,ABTR_INPUT_K2,abtr_param_11,True,True,direct,2,2,"{""pipe1_area"": true, ""pipe2_area"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2405,260,2.841074899995874,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_11.json,
3,ABTR_INPUT_K2,abtr_param_12,True,True,direct,1,1,"{""channel_dh"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2409,575,7.567904499999713,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_12.json,
3,ABTR_INPUT_K2,abtr_param_13,True,True,direct,2,2,"{""pipe1_length"": true, ""pipe2_length"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2405,248,2.795865699998103,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_13.json,
3,ABTR_INPUT_K2,abtr_param_14,True,True,direct,5,5,"{""ch1_f"": true, ""ch2_f"": true, ""ch3_f"": true, ""ch4_f"": true, ""ch5_f"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2403,575,5.651227200003632,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_14.json,
3,ABTR_INPUT_K2,abtr_param_15,True,True,direct,2,2,"{""branch1_k"": true, ""branch2_k"": true}",1.0,True,1,1,"[{""source"": ""abtr_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,7,0,0.0,,none,1.0,1,0,1,1,0.5,gpt-5.6-sol,gpt-5.6-sol,2406,1036,9.193729200000234,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260815T200220Z_abtr_input_k2\raw\run_03\ABTR_INPUT_K2\abtr_param_15.json,
